"Place,x,y,Kilometers,HaltType,Notes,align,day,date,halt"
"Sabarmati Ashram,233.25,210.271,,1,A huge crowd of over twenty thousand people assemble to see the March start. The marchers were dressed in khadi and Gandhi caps. Pandit Khare recited <a href=""https://www.youtube.com/watch?v=rKAhRsqvZqo"" target=""blank"">Vaishnava Janato</a> and the crowd sang along.<br/><img src=""data/sabarmati.jpg""/><br/> ,right,Day 1,March 12,Mid-day halt"
"Bridge next to Sabarmati Ashram,227.75,217.521,,,,right,Day 1,March 12,"
"Gujarat Vidyapeeth,211.667,244.979,,,<a href=""https://en.wikipedia.org/wiki/Gujarat_Vidyapith"" target=""blank"">Gujarat Vidyapeeth</a> is a university founded by Mahatma Gandhi in 1920.,right,Day 1,March 12,"
"Ellis Bridge,222.75,287.521,,,Gandhi chooses not to use <a href=""https://en.wikipedia.org/wiki/Ellis_Bridge"" target=""blank"">Ellis Bridge built by the British</a> and crosses the then shallow river on foot.<br/><img src=""data/ellisbridge.jpg""/><br/> ,right,Day 1,March 12,"
"River Front,227.455,295.549,,,This is currently the site of a <a href=""https://en.wikipedia.org/wiki/Sabarmati_Riverfront"" target=""blank"">development project</a>. The Sunday market is held under the bridge.,right,Day 1,March 12,"
"Aslali,258.455,503.558,20.9,2,Gandhi speaks to a crowd of 4000 (500 women) about the evils of salt tax and his vision of democracy. The meeting goes on for an hour.,right,Day 1,March 12,Night halt"
"Jatalpur,259.83,551.833,,,,right,Day 2,March 13,"
"Bareja,253.708,620.266,,1,,right,Day 2,March 13,Mid-day halt"
"Navagam,252,762.021,35.4,2,,right,Day 2,March 13,Night halt"
"Bhrai,273.333,792.021,,,,right,Day3,March 14,"
"Dhathal,287.333,799.021,,,,right,Day3,March 14,"
"Govindpura,296.667,836.021,,,,right,Day3,March 14,"
"Bujarg,330.667,870.062,,,,right,Day3,March 14,"
"Matar,379.25,916.354,51.5,2,,right,Day 3,March 14,Night halt"
"Dabhan,671.626,904.354,,1,,left,Day 4,March 15,Mid-day halt"
"Nadiad,752.334,942.021,75.6,2,,left,Day 4,March 15,Night halt"
"Boriavi,886.001,1106.354,90,,,left,Day 5,March 16,Mid-day halt"
"Anand,937.625,1218.646,99.8,2,,left,Day 5,March 16,Night halt"
"Nahapa (Napa),854,1373.021,,1,,left,Day 7,March 18,Mid-day halt"
"Mandal,826,1426.021,,,,left,Day 7,March 18,"
